,text,sentiment,source
0,so there is no way for me to plug it in here in the us unless i go by a converter ,0,amazon
1,good case  excellent value ,1,amazon
2,great for the jawbone ,1,amazon
3,tied to charger for conversations lasting more than 45 minutes major problems  ,0,amazon
4,the mic is great ,1,amazon
5,i have to jiggle the plug to get it to line up right to get decent volume ,0,amazon
6,if you have several dozen or several hundred contacts  then imagine the fun of sending each of them one by one ,0,amazon
7,if you are razr owner   you must have this ,1,amazon
8,needless to say  i wasted my money ,0,amazon
9,what a waste of money and time  ,0,amazon
10,and the sound quality is great ,1,amazon
11,he was very impressed when going from the original battery to the extended battery ,1,amazon
12,if the two were seperated by a mere 5  ft i started to notice excessive static and garbled sound from the headset ,0,amazon
13,very good quality though,1,amazon
14,the design is very odd  as the ear  clip  is not very comfortable at all ,0,amazon
15,highly recommend for any one who has a blue tooth phone ,1,amazon
16,i advise everyone do not be fooled ,0,amazon
17,so far so good  ,1,amazon
18,works great  ,1,amazon
19,it clicks into place in a way that makes you wonder how long that mechanism would last ,0,amazon
20,i went on motorola's website and followed all directions  but could not get it to pair again ,0,amazon
21,i bought this to use with my kindle fire and absolutely loved it ,1,amazon
22,the commercials are the most misleading ,0,amazon
23,i have yet to run this new battery below two bars and that's three days without charging ,1,amazon
24,i bought it for my mother and she had a problem with the battery ,0,amazon
25,great pocket pc   phone combination ,1,amazon
26,i've owned this phone for 7 months now and can say that it's the best mobile phone i've had ,1,amazon
27,i didn't think that the instructions provided were helpful to me ,0,amazon
28,people couldnt hear me talk and i had to pull out the earphone and talk on the phone ,0,amazon
29,doesn't hold charge ,0,amazon
30,this is a simple little phone to use  but the breakage is unacceptible ,0,amazon
31,this product is ideal for people like me whose ears are very sensitive ,1,amazon
32,it is unusable in a moving car at freeway speed ,0,amazon
33,i have two more years left in this contract and i hate this phone ,0,amazon
34,car charger as well as ac charger are included to make sure you never run out of juice highy recommended,1,amazon
35,you need at least 3 mins to get to your phone book from the time you first turn on the phone battery life is short ,0,amazon
36,it has kept up very well ,1,amazon
37,poor talk time performance ,0,amazon
38,the case is great and works fine with the 680 ,1,amazon
39,worthless product ,0,amazon
40,it has a great camera thats 2mp  and the pics are nice and clear with great picture quality ,1,amazon
41,i was not impressed by this product ,0,amazon
42,nice headset priced right ,1,amazon
43,i only hear garbage for audio ,0,amazon
44,excellent bluetooth headset ,1,amazon
45,it has all the features i want,1,amazon
46,who in their right mind is gonna buy this battery  ,0,amazon
47,after arguing with verizon regarding the dropped calls we returned the phones after two days ,0,amazon
48,this case seems well made ,1,amazon
49,disappointed with battery ,0,amazon
50,not loud enough and doesn't turn on like it should ,0,amazon
51,good protection and does not make phone too bulky ,1,amazon
52,a usable keyboard actually turns a pda into a real world useful machine instead of just a neat gadget ,1,amazon
53,this phone is pretty sturdy and i've never had any large problems with it ,1,amazon
54,i love this thing ,1,amazon
55,everything about it is fine and reasonable for the price i e ,1,amazon
56,very disappointed ,0,amazon
57,i even dropped this phone into a stream and it was submerged for 15 seconds and it still works great ,1,amazon
58,i have been very happy with the 510 and have had no complaints from any one regarding my sound quality on their end ,1,amazon
59,the buttons for on and off are bad ,0,amazon
60,essentially you can forget microsoft's tech support ,0,amazon
61,i really recommend this faceplates since it looks very nice  elegant and cool ,1,amazon
62,these headphones were a great find   and i think they are perhaps the best purchase i've made in the last several years   seriously ,1,amazon
63,buy a different phone   but not this ,0,amazon
64,you have to hold the phone at a particular angle for the other party to hear you clearly ,0,amazon
65,the one big drawback of the mp3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds ,0,amazon
66,a week later after i activated it  it suddenly died ,0,amazon
67,it feels more comfortable than most headsets because i wear glasses and that gets in the way sometimes ,1,amazon
68,great for ipods too ,1,amazon
69,this device is great in several situations 1  ,1,amazon
70,mic doesn't work ,0,amazon
71,even in my bmw 3 series which is fairly quiet  i have trouble hearing what the other person is saying ,0,amazon
72,great choice ,1,amazon
73,nice docking station for home or work ,1,amazon
